timestamp,angle,curLapTime,damage,distFromStart,distRaced,focus,fuel,gear,lastLapTime,opponents,racePos,rpm,speedX,speedY,speedZ,track,trackPos,wheelSpinVel,z
1746100186.299,0.000466998,-0.782,0.0,1735.94,0.0,"[-1.0, -1.0, -1.0, -1.0, -1.0]",93.9998,0,0.0,"[200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 10.5394, 20.0006]",1,1871.4,0.00259181,-0.00220464,-0.000110076,"[3.33375, 3.45179, 3.85052, 4.71684, 6.6729, 9.75977, 12.9031, 19.2493, 56.4576, 49.3656, 41.8612, 33.9763, 25.7116, 19.4658, 13.3217, 9.42309, 7.69544, 6.90054, 6.66625]",0.333249,"[0.0, 0.0, 0.0, 0.0]",0.350169
1746100186.32,0.000466998,-0.762,0.0,1735.94,0.0,"[-1.0, -1.0, -1.0, -1.0, -1.0]",93.9997,0,0.0,"[200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 10.5394, 20.0006]",1,2057.39,0.00259181,-0.00220464,-0.000110076,"[3.33375, 3.45179, 3.85052, 4.71684, 6.6729, 9.75977, 12.9031, 19.2493, 56.4576, 49.3656, 41.8612, 33.9763, 25.7116, 19.4658, 13.3217, 9.42309, 7.69544, 6.90054, 6.66625]",0.333249,"[0.0, 0.0, 0.0, 0.0]",0.350169
1746100186.338,0.000466998,-0.742,0.0,1735.94,0.0,"[-1.0, -1.0, -1.0, -1.0, -1.0]",93.9996,0,0.0,"[200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 10.5394, 20.0006]",1,2251.95,0.00259181,-0.00220464,-0.000110076,"[3.33375, 3.45179, 3.85052, 4.71684, 6.6729, 9.75977, 12.9031, 19.2493, 56.4576, 49.3656, 41.8612, 33.9763, 25.7116, 19.4658, 13.3217, 9.42309, 7.69544, 6.90054, 6.66625]",0.333249,"[0.0, 0.0, 0.0, 0.0]",0.350169
1746100186.357,0.000466998,-0.722,0.0,1735.94,0.0,"[-1.0, -1.0, -1.0, -1.0, -1.0]",93.9995,0,0.0,"[200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 10.5394, 20.0006]",1,2463.54,0.00259181,-0.00220464,-0.000110076,"[3.33375, 3.45179, 3.85052, 4.71684, 6.6729, 9.75977, 12.9031, 19.2493, 56.4576, 49.3656, 41.8612, 33.9763, 25.7116, 19.4658, 13.3217, 9.42309, 7.69544, 6.90054, 6.66625]",0.333249,"[0.0, 0.0, 0.0, 0.0]",0.350169
1746100186.378,0.000466998,-0.702,0.0,1735.94,0.0,"[-1.0, -1.0, -1.0, -1.0, -1.0]",93.9993,0,0.0,"[200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 10.5394, 20.0006]",1,2694.04,0.00259181,-0.00220464,-0.000110076,"[3.33375, 3.45179, 3.85052, 4.71684, 6.6729, 9.75977, 12.9031, 19.2493, 56.4576, 49.3656, 41.8612, 33.9763, 25.7116, 19.4658, 13.3217, 9.42309, 7.69544, 6.90054, 6.66625]",0.333249,"[0.0, 0.0, 0.0, 0.0]",0.350169
1746100186.399,0.000466998,-0.682,0.0,1735.94,0.0,"[-1.0, -1.0, -1.0, -1.0, -1.0]",93.9992,0,0.0,"[200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 10.5394, 20.0006]",1,2945.14,0.00259181,-0.00220464,-0.000110076,"[3.33375, 3.45179, 3.85052, 4.71684, 6.6729, 9.75977, 12.9031, 19.2493, 56.4576, 49.3656, 41.8612, 33.9763, 25.7116, 19.4658, 13.3217, 9.42309, 7.69544, 6.90054, 6.66625]",0.333249,"[0.0, 0.0, 0.0, 0.0]",0.350169
1746100186.417,0.000466998,-0.662,0.0,1735.94,0.0,"[-1.0, -1.0, -1.0, -1.0, -1.0]",93.999,0,0.0,"[200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 10.5394, 20.0006]",1,3218.53,0.00259181,-0.00220464,-0.000110076,"[3.33375, 3.45179, 3.85052, 4.71684, 6.6729, 9.75977, 12.9031, 19.2493, 56.4576, 49.3656, 41.8612, 33.9763, 25.7116, 19.4658, 13.3217, 9.42309, 7.69544, 6.90054, 6.66625]",0.333249,"[0.0, 0.0, 0.0, 0.0]",0.350169
1746100186.438,0.000466998,-0.642,0.0,1735.94,0.0,"[-1.0, -1.0, -1.0, -1.0, -1.0]",93.9987,0,0.0,"[200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 10.5394, 20.0006]",1,3512.41,0.00259181,-0.00220464,-0.000110076,"[3.33375, 3.45179, 3.85052, 4.71684, 6.6729, 9.75977, 12.9031, 19.2493, 56.4576, 49.3656, 41.8612, 33.9763, 25.7116, 19.4658, 13.3217, 9.42309, 7.69544, 6.90054, 6.66625]",0.333249,"[0.0, 0.0, 0.0, 0.0]",0.350169
1746100186.455,0.000466998,-0.622,0.0,1735.94,0.0,"[-1.0, -1.0, -1.0, -1.0, -1.0]",93.9985,0,0.0,"[200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 10.5394, 20.0006]",1,3826.53,0.00259181,-0.00220464,-0.000110076,"[3.33375, 3.45179, 3.85052, 4.71684, 6.6729, 9.75977, 12.9031, 19.2493, 56.4576, 49.3656, 41.8612, 33.9763, 25.7116, 19.4658, 13.3217, 9.42309, 7.69544, 6.90054, 6.66625]",0.333249,"[0.0, 0.0, 0.0, 0.0]",0.350169
1746100186.478,0.000466998,-0.602,0.0,1735.94,0.0,"[-1.0, -1.0, -1.0, -1.0, -1.0]",93.9981,0,0.0,"[200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 10.5394, 20.0006]",1,4162.29,0.00259181,-0.00220464,-0.000110076,"[3.33375, 3.45179, 3.85052, 4.71684, 6.6729, 9.75977, 12.9031, 19.2493, 56.4576, 49.3656, 41.8612, 33.9763, 25.7116, 19.4658, 13.3217, 9.42309, 7.69544, 6.90054, 6.66625]",0.333249,"[0.0, 0.0, 0.0, 0.0]",0.350169
1746100186.498,0.000466998,-0.582,0.0,1735.94,0.0,"[-1.0, -1.0, -1.0, -1.0, -1.0]",93.9978,0,0.0,"[200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 10.5394, 20.0006]",1,4519.22,0.00259181,-0.00220464,-0.000110076,"[3.33375, 3.45179, 3.85052, 4.71684, 6.6729, 9.75977, 12.9031, 19.2493, 56.4576, 49.3656, 41.8612, 33.9763, 25.7116, 19.4658, 13.3217, 9.42309, 7.69544, 6.90054, 6.66625]",0.333249,"[0.0, 0.0, 0.0, 0.0]",0.350169
1746100186.516,0.000466998,-0.562,0.0,1735.94,0.0,"[-1.0, -1.0, -1.0, -1.0, -1.0]",93.9973,0,0.0,"[200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 10.5394, 20.0006]",1,4895.38,0.00259181,-0.00220464,-0.000110076,"[3.33375, 3.45179, 3.85052, 4.71684, 6.6729, 9.75977, 12.9031, 19.2493, 56.4576, 49.3656, 41.8612, 33.9763, 25.7116, 19.4658, 13.3217, 9.42309, 7.69544, 6.90054, 6.66625]",0.333249,"[0.0, 0.0, 0.0, 0.0]",0.350169
1746100186.559,0.000466998,-0.542,0.0,1735.94,0.0,"[-1.0, -1.0, -1.0, -1.0, -1.0]",93.9969,0,0.0,"[200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 10.5394, 20.0006]",1,5291.74,0.00259181,-0.00220464,-0.000110076,"[3.33375, 3.45179, 3.85052, 4.71684, 6.6729, 9.75977, 12.9031, 19.2493, 56.4576, 49.3656, 41.8612, 33.9763, 25.7116, 19.4658, 13.3217, 9.42309, 7.69544, 6.90054, 6.66625]",0.333249,"[0.0, 0.0, 0.0, 0.0]",0.350169
1746100186.562,0.000466998,-0.522,0.0,1735.94,0.0,"[-1.0, -1.0, -1.0, -1.0, -1.0]",93.9963,0,0.0,"[200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 10.5394, 20.0006]",1,5705.47,0.00259181,-0.00220464,-0.000110076,"[3.33375, 3.45179, 3.85052, 4.71684, 6.6729, 9.75977, 12.9031, 19.2493, 56.4576, 49.3656, 41.8612, 33.9763, 25.7116, 19.4658, 13.3217, 9.42309, 7.69544, 6.90054, 6.66625]",0.333249,"[0.0, 0.0, 0.0, 0.0]",0.350169
1746100186.578,0.000466998,-0.502,0.0,1735.94,0.0,"[-1.0, -1.0, -1.0, -1.0, -1.0]",93.9957,0,0.0,"[200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 10.5394, 20.0006]",1,6134.47,0.00259181,-0.00220464,-0.000110076,"[3.33375, 3.45179, 3.85052, 4.71684, 6.6729, 9.75977, 12.9031, 19.2493, 56.4576, 49.3656, 41.8612, 33.9763, 25.7116, 19.4658, 13.3217, 9.42309, 7.69544, 6.90054, 6.66625]",0.333249,"[0.0, 0.0, 0.0, 0.0]",0.350169
1746100186.598,0.000466998,-0.482,0.0,1735.94,0.0,"[-1.0, -1.0, -1.0, -1.0, -1.0]",93.9951,0,0.0,"[200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 10.5394, 20.0006]",1,6578.01,0.00259181,-0.00220464,-0.000110076,"[3.33375, 3.45179, 3.85052, 4.71684, 6.6729, 9.75977, 12.9031, 19.2493, 56.4576, 49.3656, 41.8612, 33.9763, 25.7116, 19.4658, 13.3217, 9.42309, 7.69544, 6.90054, 6.66625]",0.333249,"[0.0, 0.0, 0.0, 0.0]",0.350169
