generation,fitness,gene_0,gene_1,gene_2,gene_3,gene_4,gene_5,gene_6,gene_7,gene_8,gene_9,gene_10,gene_11,gene_12,gene_13,gene_14,gene_15,gene_16,gene_17,gene_18,gene_19,gene_20,gene_21,gene_22,gene_23,gene_24,gene_25,gene_26,gene_27,gene_28,gene_29,gene_30,gene_31,gene_32,gene_33,gene_34,gene_35,gene_36,gene_37,gene_38,gene_39,gene_40,gene_41,gene_42,gene_43,gene_44,gene_45,gene_46,gene_47,gene_48,gene_49,gene_50,gene_51,gene_52,gene_53,gene_54,gene_55,gene_56,gene_57,gene_58,gene_59,gene_60,gene_61,gene_62,gene_63,gene_64,gene_65,gene_66,gene_67,gene_68,gene_69,gene_70,gene_71,gene_72,gene_73,gene_74,gene_75,gene_76,gene_77,gene_78,gene_79,gene_80,gene_81,gene_82,gene_83,gene_84,gene_85,gene_86,gene_87,gene_88,gene_89,gene_90,gene_91,gene_92,gene_93,gene_94,gene_95,gene_96,gene_97,gene_98,gene_99,gene_100,gene_101,gene_102,gene_103,gene_104,gene_105,gene_106,gene_107,gene_108,gene_109,gene_110,gene_111,gene_112,gene_113,gene_114,gene_115,gene_116,gene_117,gene_118,gene_119,gene_120,gene_121,gene_122,gene_123,gene_124,gene_125,gene_126,gene_127,gene_128,gene_129,gene_130,gene_131,gene_132,gene_133
0,41712.67358439278,0.15447996551087906,0.2146857003291626,-0.07247605902539345,0.27801775227745984,-0.026007274363648056,0.12825792738505892,0.3223397871730543,0.0898527018930958,-0.289318695868752,0.15218893123778854,-0.041127733881780607,-0.32747216910037386,-0.3622849367733746,-0.28753152995685527,-0.19717671126381459,0.03223055376847047,-0.11061997237119289,-0.32233956317202317,0.463669469586325,-0.46665604033348485,-0.3203280952899794,0.08356925753556976,-0.1626487781400346,0.030087224987371868,-0.005904164655309788,-0.4855096229604881,-0.06083206219095982,-0.11376629107832323,-0.14272208555566748,0.08276999723954473,-0.3251934681984236,-0.32600168859530965,0.07793155262472347,0.1192879124488,-0.10739914597706779,0.3969215819314808,0.2885522891481357,-0.19948015221339294,0.03794211623286451,0.13424982467769148,-0.07240439898321553,-0.330232120898168,0.06538705738431001,-0.10920077802348435,-0.10541781971131484,-0.04553596754226101,-0.0622869959248028,-0.23892072808897602,0.27685531750478015,0.06519805822949505,0.20766519535344663,0.36934219399016055,-0.2600808340372497,0.09461074624664523,0.027302417930160326,-0.24533038540508367,0.018315459876678236,-0.29301085707833296,0.1642069564767177,-0.047341944388956336,0.12889027326624442,-0.20428868481190227,0.1009643684336079,0.1931203098287263,0.4084634245682072,-0.14721886619464258,0.34464409061688356,0.1790719653771472,0.079473858411779,0.18937971088211408,0.4562532516387109,0.1305379058996975,0.4238099180301519,-0.04771327887023436,0.20870755798085183,0.22519157037773407,0.3392801669341512,0.16643710138942838,0.02329424636220053,0.00953419345399813,0.3151137900692612,0.12931202657798377,-0.0074508669685846365,-0.05718276864962006,-0.032984868297397156,0.20322504308243838,-0.24817988118935216,0.12517434225242827,0.018865395598494282,0.27824352376085193,0.0366523171610246,-0.10306217501621183,0.22819165127970154,0.0861690314826908,-0.18998835032027234,0.20999289823708128,-0.0012008596360985424,-0.008361258829946027,-0.0032468314036233877,0.004715804777801976,-0.010309011039674219,0.0018561200513058814,-0.012969986243160703,0.0023458951870353097,0.00967580385460447,-0.00018171733942955366,-0.003984171859112232,0.007084726801059176,-0.22168098670880942,-0.2104092707331669,-0.009046460220663268,0.07703522302285389,-0.43767976358182065,0.6093097151378939,0.17014592857516403,0.06205565219684321,-0.05368783023576088,0.2036069051678528,-0.11145777804222479,-0.0005708176316460973,0.3633453111366361,0.39463893528169236,-0.24456014728948766,-0.28317585534873335,0.1281836400176704,-0.14117344633139578,-0.08848812671986332,0.29755230578625635,0.002754460940037478,0.07759671338720658,0.15798588871038474,0.532542228964048,0.0066670919317232,0.0008546621494623097
1,41600.84640978518,0.15306784198797593,0.20579987810508238,-0.07627227758732084,0.27470420213245256,-0.021089194854442096,0.1288365020300115,0.3219116495469964,0.08898364483950666,-0.28667609234691305,0.16203164970364686,-0.04782873949324237,-0.3277069684444584,-0.359034230217422,-0.29898800087225214,-0.23881472051037833,-0.006303743136424622,-0.10732052479805133,-0.328205374370714,0.4662804449104208,-0.46934993088166044,-0.3114552720521405,0.09036286820543693,-0.18196407171163737,0.027016862924709402,0.005683865264223605,-0.5085489383631886,-0.05884112023121547,-0.11209124876213651,-0.12994575744418901,0.08177237086474684,-0.31856042495536646,-0.3186453030595375,0.081104721346544,0.12789397888688706,-0.12809059469439105,0.40275082339741164,0.2769142010606284,-0.19907104787816454,0.03663225603805828,0.14626178088350195,-0.06082648643618126,-0.3317676433520138,0.0677586952484799,-0.11862128761946233,-0.09401335758860478,-0.05888821804731907,-0.056272787283637424,-0.250246241678374,0.26663683179851133,0.05960731983796265,0.2116879237965842,0.3642608409183226,-0.25506804327191585,0.08924325250876444,0.014400540985384095,-0.2537106286233074,0.028190794064276374,-0.289508659837979,0.16396023699084916,-0.0433930251026857,0.12208369424282796,-0.20271104345789387,0.08868849152427996,0.20485659304814013,0.4196041579990857,-0.14872834877160082,0.3359131750631901,0.19228624229632102,0.09841963689328093,0.16485785562226796,0.4451172422075793,0.133087439190154,0.43040516153172487,-0.043819604286066745,0.2117225456937848,0.22519768676535556,0.32103246977251415,0.19361746013741665,0.04069076657326394,0.011380302824263206,0.3110994803584469,0.13786849223035724,-0.020666971022277693,-0.047590388460708774,-0.027370135412142144,0.18114037156711887,-0.25560191368939933,0.11555067861638266,0.02358166648712245,0.28766868685506075,0.02821772141391682,-0.10181777272685763,0.21856269077311158,0.08801119514225103,-0.1753644633309905,0.20974444258895075,0.00019742394622513986,-0.002356167708864198,-0.0004888643672857223,0.02836359716835997,-0.010974419296589762,0.00439882697066512,-0.016562480181935364,0.0015546707036876238,-0.00882833569531935,-0.007265020758140908,-0.003511746867843351,0.004954874144496033,-0.2274161132609142,-0.24369507801680834,0.010209287554779685,0.0808366719354542,-0.42524595717121233,0.6053192230608303,0.16919559549948454,0.06001576319483899,-0.054691381521846126,0.19548958206024855,-0.10606186277019272,-0.004253026094502826,0.36188232615612037,0.39612694553283645,-0.2493059742241126,-0.28852733935585384,0.12557657712976414,-0.13102280638891065,-0.07290856629086527,0.2941349123142226,0.014438231291694574,0.09061097871531673,0.15670020809792873,0.5225108590735583,0.002869696871147547,-0.0037190176229171404
2,40928.58691732892,0.1559986425088994,0.20203559132594873,-0.07758984453254802,0.27832961536919776,-0.015531215034746838,0.1317861795319678,0.3227544550428086,0.09285001370149032,-0.2833267632677096,0.16127291351592693,-0.052789140054195625,-0.3244780216276154,-0.3557996242413149,-0.2749354946977718,-0.23503260148444136,0.029864942782308043,-0.11621610483016616,-0.32098065163624495,0.47250149767395205,-0.47025818368557126,-0.31609248120475864,0.08345976620226161,-0.17207509126347686,0.028988468428579512,-0.0053479734507479535,-0.48406906155883733,-0.06150380803237566,-0.11244822601790377,-0.14463947212079714,0.08188862372333217,-0.3241815846677065,-0.3136849228191241,0.07618960642444818,0.12234176641309985,-0.12291633636873175,0.40516522046255676,0.28550334321542553,-0.204657251021172,0.03931758405017951,0.13682379348287524,-0.05172891543571985,-0.32869872720067417,0.06388446428443886,-0.11590085597879317,-0.09598634000239234,-0.05916403573898055,-0.060196669294680184,-0.24023525058463385,0.280669813242384,0.07310757579181984,0.2094206982694434,0.3671778616439799,-0.24768376318105806,0.08182403919550202,0.006435513769372068,-0.25365297864346437,0.024792839697466592,-0.2924732679983314,0.17297549628990772,-0.04428797772427077,0.13659588141080964,-0.2122484786959471,0.10861094975901187,0.19770513337561452,0.41395764772844645,-0.14980848029368157,0.3404033791299654,0.19079907992398742,0.10632662679984373,0.18489153589870297,0.4550758912925176,0.13310807617241183,0.4246348207016977,-0.036313009388432016,0.20818355244412662,0.22275940470326938,0.3450073463684619,0.18299547668284172,0.025494301329024166,0.010258514917082254,0.30680716322071155,0.12355694908571128,-0.03057609741574828,-0.06801054199478505,-0.007837098039037912,0.19978021366635856,-0.2739339910310778,0.12529887772100606,0.02175276598474462,0.28661878899168636,0.02584725983945179,-0.11162868419530106,0.21853182210760008,0.08493164526302562,-0.1896858884075459,0.22153771551239282,0.0074104353266983055,-0.0012352497147000248,-0.002037264308946689,0.005122027543262759,-0.01677457964352022,-0.000818797984309714,-0.015522323182511844,0.002570933820544308,0.005956976316622761,-0.005497244999769967,-0.005006329443367329,0.0036571895384653764,-0.2225179578014069,-0.21425186945790103,-0.005359359419868929,0.08076782904813282,-0.43742355166907715,0.6092059326858664,0.17172745760102479,0.060664845410393374,-0.06125645212560113,0.1769888387499751,-0.10582432136137634,0.004304968451719888,0.372194173622008,0.39149473313828903,-0.25116550916796854,-0.30830435879224954,0.1453704821428394,-0.1336481732781803,-0.07738139988292612,0.30111882966810777,0.008000589775996084,0.08582960236776921,0.15500230605505944,0.5302946369647399,0.012145525018591093,0.001036259869482815
3,40775.82923376654,0.15166291698832604,0.2015736522784753,-0.07751784015266373,0.2760254269359795,-0.0263412344892398,0.1300703056135306,0.32227505694517344,0.0869045730685248,-0.28880121697696814,0.16068036348917258,-0.04129807024982003,-0.3237517327090665,-0.36643966075879975,-0.2976556680609404,-0.2394977466771912,0.018589208516079755,-0.10445804489198443,-0.3219398905442019,0.4595413280237241,-0.47009609489683085,-0.3102979589592451,0.08576477239977129,-0.1620951098104503,0.02960845734308536,-0.010969456886297406,-0.48266825377565636,-0.06014517526003967,-0.1127897191585598,-0.1293034736160775,0.07974843574203908,-0.3284012784449378,-0.3164941506661994,0.07800718309677684,0.11579019818911383,-0.12211015398763891,0.4056400706827896,0.2920662850538245,-0.19284284225592432,0.0351037242876788,0.13355755207671077,-0.08318671702993138,-0.3254430013316475,0.06514591034976527,-0.10004028819803372,-0.09716602937934747,-0.058788777585582964,-0.05301509417385191,-0.2464402322313004,0.28107035459390295,0.06900485191607297,0.21020342771644301,0.3684711788289944,-0.25927129386984005,0.08545922781269824,0.0391792452804888,-0.2252136060073271,0.021227139125807752,-0.29370007424149763,0.15831753044036245,-0.04738875696801464,0.13114454314778626,-0.198588595408008,0.09982600926194285,0.2089273185318321,0.4268486006142967,-0.14292241581241302,0.341785993470123,0.19456984331374425,0.09094103210497455,0.1992077984664053,0.44830955426603725,0.1320295242999744,0.4370886663180819,-0.05569572772236663,0.2114720214851866,0.22366669157787034,0.330352601124617,0.18028201056649473,0.022525092517432118,0.009643738488684439,0.3135427360792048,0.12784810321447257,-0.01805921806492611,-0.05571707220922206,-0.035530953338349984,0.2023911000209694,-0.2639118228579227,0.12204923529167747,0.01277157839275413,0.2767106048192556,0.0387423174204518,-0.10739505913380078,0.22029919427868352,0.08306406979173891,-0.18912738717390112,0.20897037195909635,0.0016214964737476566,0.0053003767800299355,0.0037837439351154096,0.0004956007858974336,-0.0001371931873961011,0.003293736541674425,-0.010720785041437515,0.0036407090570659034,0.0007698559961389342,1.682506265345739e-07,-0.00530412509279178,0.0019974086858861846,-0.22458091572792127,-0.22369092359476814,-0.0035583533553841737,0.08094167961587422,-0.44429172301426295,0.6007863193507179,0.1828285287592191,0.061236707000223184,-0.04661808226597458,0.19658403245019448,-0.10465436771783684,-0.010348153737166901,0.3704996145867412,0.3918857027148236,-0.2524967937731283,-0.30370581841766575,0.13309388119855964,-0.1328403208074946,-0.0903204847157176,0.29254050585545177,0.003171783618575091,0.0783516223302215,0.15583990385684449,0.5299589813799628,-0.0021790363545526464,-0.005569797532799854
4,40689.301904995256,0.056831290479310244,0.010476661022155387,-0.03507392300216003,-0.055175377195911764,0.0164572319769269,-0.3798686699086935,-0.29458599724812656,0.35362724487290387,0.06151119679521819,-0.22438045500467943,-0.10011867133259766,0.10044478529260921,-0.04496255428655716,-0.11773426692629418,-0.5148628992066703,-0.09394327110365272,0.41660601190142865,0.27713022836904894,0.3102660820307551,-0.14415929113576628,-0.05351729476474419,0.3378013372469538,0.004515213022439041,0.24774321446024303,0.478719494336084,-0.3918443096245458,0.279841396197812,-0.3804134571876092,0.24133613597439882,0.3055494914004185,-0.1596459269352619,0.24305816291486243,0.3753861915717229,-0.017629930910647025,0.24992132465529251,0.3878634009012287,-0.26325755764726816,0.28240670131303,0.04236404390770432,0.07357566412397717,0.1967061000234909,0.41285513861674156,0.4120189558069805,0.46292944803367814,-0.4648449650457339,-0.11774887756300455,0.27469768347258805,-0.30089360356021355,0.3062916404182159,0.30554347631321754,0.21951835894067268,0.29657355081060727,-0.22860898033842553,0.2091626014252022,-0.13082594935779734,-0.13473784654362886,-0.33126356114816913,-0.4180306985043139,0.23889875170846803,0.09269773963420078,-0.39318720025914383,0.24645206400823083,-0.028467252902883773,0.15918526930825436,-0.03392936164796065,-0.37720785818236,-0.3400925479686324,-0.43357105362589143,-0.4029413381576612,-0.3353656320029034,0.1395996458068007,0.21143561383916226,0.233386542617076,0.07428989016254557,-0.032674351091115175,-0.21113183077598197,-0.3886798941523696,-0.23547020666079482,0.14056845191286263,-0.3773972724611556,-0.011772478222092882,0.19037730817456253,0.18076895493645728,0.2600919891263001,0.323926027468901,0.13063461177906135,0.42134517039221614,0.3145840635356181,-0.36386035932765315,0.4637014602123762,-0.291562110804524,-0.0984602628937924,-0.13875276616491583,0.20606855133048851,-0.37319158270782965,0.1114292132859004,-2.621086363087986e-05,-1.2108795017501144e-05,-3.8782782379816446e-05,0.00623326719320083,0.018239349547912367,-0.0143465494532905,-0.00012026523216427914,1.3907920343877705e-05,0.00011154717789796798,-0.01970221265672324,0.00976517807647547,2.6347194823294467e-05,-0.3999907098414948,-0.04509835664265673,0.4923787050212077,-0.07369568906450157,0.08893967252597278,-0.14389094977561448,0.2687203067420879,0.3841344276049907,-0.07291120832069482,-0.4797760193014978,0.3211503917748009,-0.5312563694228162,0.40901475013821403,0.6001912310413507,0.5381214808382365,0.29421578285224326,0.3469741182012854,-0.5901864147637399,-0.3940730372982014,0.5543606132456476,-0.1072292479252144,-0.24064736237118192,-0.18249763902248503,0.5301029190436429,-0.024993516694151216,0.014438399717560035
5,40492.83701080772,0.15139958335065531,0.20794257048138332,-0.08086495696242979,0.2726405588026258,-0.02425288606237825,0.12715749831248851,0.32143191114858544,0.08678284570526898,-0.2885825841486307,0.15121914405621154,-0.04815080832556527,-0.32954493673270957,-0.36087541978984267,-0.2981212149469992,-0.24096756328741115,0.0022784484019065703,-0.11366822379191449,-0.33231780236367303,0.4627393219537761,-0.46883293882635757,-0.3088156982678832,0.0942922245225546,-0.18759303790335222,0.025894593467017415,0.011963364701455969,-0.4860111391360117,-0.057325475651838195,-0.11188805158579879,-0.14686310105601608,0.08170619787410363,-0.3153607707397615,-0.3214688310074091,0.08390248354962501,0.13172893400153224,-0.13103586547685608,0.4013765098850814,0.2720251236619387,-0.19589129150217846,0.0351037242876788,0.15163403460312988,-0.06600496968395109,-0.33351451962016454,0.0592984536960668,-0.11290000849682816,-0.09446198816936552,-0.05873121819586036,-0.05403925074301798,-0.2559446582853867,0.2644391033472757,0.07467359935804391,0.21297846491031874,0.362600425961358,-0.25927129386984005,0.09346638765686187,0.01893436215633809,-0.2315476733349534,0.030124964159164158,-0.29002257352855537,0.1555284776971887,-0.04288360372436495,0.11382312467606316,-0.19728218243505125,0.07734830893953061,0.2089273185318321,0.42281824215884467,-0.14811352059469518,0.33335727893028994,0.19313275895790605,0.09391885148920506,0.1812611612421653,0.44830955426603725,0.13307569228904145,0.43368973203089467,-0.04809247843271802,0.21373699738164692,0.2265855960008219,0.33115005835273537,0.19966366339044045,0.018806601604256255,0.01201884248332085,0.3135427360792048,0.14601485200271025,-0.015026537435552318,-0.055504388533048524,-0.038488653400026177,0.19871462779802423,-0.25701748539549085,0.11000184742213785,0.01277157839275413,0.28826630554878435,0.0387423174204518,-0.1063205817291547,0.22245206542236354,0.08976412429877333,-0.18831579622793512,0.20303152259444615,-0.003908337756306118,-0.0036930159715254716,0.0003925097004003036,0.002590766068925214,-0.007672875050390983,0.005169517755183391,-0.016420959890191846,0.0009761974468477726,0.0007698559961389342,-0.008271267057298477,-0.002661006507656322,0.005693537024167731,-0.23020422186602918,-0.22163677953376792,0.00010498262499476904,0.08377506379968751,-0.4149083698453241,0.6031068456382002,0.16775441900547045,0.0596462951929401,-0.04956365615253688,0.2060205017198678,-0.10619707514788616,-0.009124373775094955,0.35601265727934556,0.39876367508230176,-0.2482474971256748,-0.29778762063175634,0.11430956909949333,-0.11432235140922539,-0.08288624592171293,0.2957118208647055,0.018102640037996352,0.0886195756597855,0.1623804413245081,0.5180802079237293,-0.002410253202151365,-0.006425797798816967
6,38445.21614309933,0.15166291698832604,0.20962802791836105,-0.07751784015266373,0.2755351036111777,-0.0263412344892398,0.1300703056135306,0.3201452368078651,0.0869045730685248,-0.2983772834955709,0.14571271760008717,-0.05454908377749364,-0.33757859384220645,-0.36087541978984267,-0.3023219410215048,-0.2394977466771912,0.018589208516079755,-0.11355875506613013,-0.3219398905442019,0.4592919264778624,-0.47009609489683085,-0.3102979589592451,0.08576477239977129,-0.17209209202267597,0.024459159301379055,-0.010969456886297406,-0.4911125164239549,-0.06014517526003967,-0.11376315012273897,-0.14686310105601608,0.08119380029327374,-0.32624198700712753,-0.3232226240891426,0.08463134338211525,0.11579019818911383,-0.12211015398763891,0.4024565852587875,0.283214846674017,-0.19284284225592432,0.0351037242876788,0.13348930137281545,-0.06600496968395109,-0.33051917574825795,0.06514591034976527,-0.11345162377429002,-0.09446198816936552,-0.06288378511636378,-0.05403925074301797,-0.2464402322313004,0.28107035459390295,0.06900485191607297,0.2184559829220079,0.3684711788289944,-0.25927129386984005,0.08541877981972307,0.017697347105723234,-0.2315476733349534,0.021227139125807752,-0.29370007424149763,0.15831753044036245,-0.04738875696801464,0.1279812089191366,-0.198588595408008,0.07413334836978941,0.2089273185318321,0.4025172994876474,-0.14811352059469518,0.341785993470123,0.18279610835695836,0.09094103210497455,0.17954860921968724,0.44830955426603725,0.1320295242999744,0.4370886663180819,-0.04809247843271802,0.2114720214851866,0.22366669157787034,0.33088447038681057,0.18028201056649473,0.02381263663503253,0.009643738488684439,0.3135427360792048,0.152389827088534,-0.015240292401849992,-0.05571707220922206,-0.035530953338349984,0.20462989946851287,-0.2639118228579227,0.12192594333277541,0.01277157839275413,0.2870867232729046,0.0387423174204518,-0.10739505913380078,0.22029919427868352,0.08306406979173891,-0.19019343590856094,0.19396859999930147,-0.0009723187297599783,-0.0007138775375048201,-0.004824028929252527,0.0004956007858974336,-0.013915591355920052,-0.0037631066781113748,-0.010720785041437515,0.0036407090570659034,0.0007698559961389342,1.682506265345739e-07,-0.00530412509279178,0.0019974086858861846,-0.2277912977191051,-0.22163677953376792,-0.0035583533553841737,0.08742952989937608,-0.43769666682938213,0.6007863193507179,0.16775441900547045,0.061236707000223184,-0.06620524585867625,0.1964946134420177,-0.10465436771783684,-0.010348153737166901,0.3549554643934759,0.3918857027148236,-0.2524967937731283,-0.2927990531554578,0.13309388119855964,-0.1328403208074946,-0.1015450897271106,0.29254050585545177,0.003171783618575091,0.09686193632335621,0.16758059867948813,0.5299589813799628,-0.0021790363545526464,-0.0022063999083564924
7,38102.556958450856,0.05604112731639654,0.0013657701768328995,-0.013423333247527373,-0.057672933730763126,0.016738939457068232,-0.386165424177707,-0.28030871759088954,0.35564960671160173,0.0640979872951203,-0.22722375957887173,-0.08974874011733218,0.1037281985281252,-0.04248259021457927,-0.11536681177997078,-0.5303668684106547,-0.09878229936296752,0.44143794437913075,0.26522863222662196,0.3155313734252693,-0.12428207109106054,-0.07457869819511924,0.3390796566391067,-0.0032036420321677186,0.2586482498152117,0.4663167670700125,-0.41075938025588055,0.2816163335464305,-0.3824511168660129,0.24016144052225707,0.29593229958916784,-0.15430308669454398,0.24458220610315232,0.3776738693278899,-0.014473485566471803,0.24518438652657382,0.40727264796913154,-0.2650888444331668,0.2861944500952126,0.03628685097782264,0.08774971040207971,0.21587093361841056,0.41853690875259475,0.41464560482598267,0.44840760600441404,-0.4598752154221264,-0.11261759185737477,0.24798383847676075,-0.3006535960047492,0.313118374052924,0.32796104995999953,0.2196926342877643,0.2931650026445894,-0.22284976886857397,0.1944612762215655,-0.13152812453980167,-0.15016328900248654,-0.3339638063123288,-0.4102974049348989,0.24346448431768342,0.10029028445575836,-0.4185444307816171,0.24272150104398674,-0.03159574324642092,0.1542152599812866,-0.03749218266816719,-0.37893819209620255,-0.3565525221871242,-0.43491938425735016,-0.38544644286181456,-0.36042725420129057,0.13726853869987765,0.21207728845638496,0.23947665427226106,0.06509427408342901,-0.035729609763018776,-0.2144456968393786,-0.39682112851395734,-0.23977527016725547,0.1543824432350034,-0.37990011073414387,-0.014599820498953317,0.21230841827764402,0.18226690440870255,0.2625382970683578,0.34569151352567556,0.1448110827794287,0.43335283061245644,0.34404820873903696,-0.36688131360598514,0.46442560056899174,-0.29776173267351463,-0.10214497168792609,-0.1414966242475262,0.20700470035662324,-0.3906827312276944,0.11061281710514331,-0.006967988702063343,0.0026928609762966404,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.01985290910745024,-0.003320632556379483,0.0,-0.4013688845250255,-0.06004303279838831,0.4869508667161092,-0.07477276154159487,0.07856164669901006,-0.13836913816823904,0.26956636827605873,0.3797231309960265,-0.07295851870516754,-0.48932343481709106,0.33200098985994075,-0.5351411733349718,0.39041712479648494,0.5957148786867675,0.544124814083006,0.3008607628940284,0.34884920130458197,-0.593686158953029,-0.4096405982235024,0.539101081450352,-0.11768990519220862,-0.24299445257080565,-0.18505347977971914,0.5301042957889551,-0.025348777050097287,0.0
